IDCNTRY;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Chile;10;PVCIL;S_SEX;Boy;Boy;356,748840334818;10,3271404461245;356,748840334818;10,3271404461245;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h49m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Chile;10;PVCIL;S_SEX;Boy;Girl;356,748840334818;10,3271404461245;371,26855393632;8,69658120463566;14,519713601502;10,9236457441347;1,32920033673722;TOTWGTS;JRR;HALF;N;26-FEB-26;10h49m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Chile;10;PVCIL;S_SEX;Girl;Boy;371,26855393632;8,69658120463566;356,748840334818;10,3271404461245;-14,519713601502;10,9236457441347;-1,32920033673722;TOTWGTS;JRR;HALF;N;26-FEB-26;10h49m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Chile;10;PVCIL;S_SEX;Girl;Girl;371,26855393632;8,69658120463566;371,26855393632;8,69658120463566;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h49m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Chile;50;PVCIL;S_SEX;Boy;Boy;481,63585475982;6,33595185875829;481,63585475982;6,33595185875829;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h49m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Chile;50;PVCIL;S_SEX;Boy;Girl;481,63585475982;6,33595185875829;487,425524924912;5,08000286108279;5,78967016509241;6,8347101836471;,847098122601441;TOTWGTS;JRR;HALF;N;26-FEB-26;10h49m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Chile;50;PVCIL;S_SEX;Girl;Boy;487,425524924912;5,08000286108279;481,63585475982;6,33595185875829;-5,78967016509241;6,8347101836471;-,847098122601441;TOTWGTS;JRR;HALF;N;26-FEB-26;10h49m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Chile;50;PVCIL;S_SEX;Girl;Girl;487,425524924912;5,08000286108279;487,425524924912;5,08000286108279;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h49m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Chile;90;PVCIL;S_SEX;Boy;Boy;572,809762894702;7,55513876873874;572,809762894702;7,55513876873874;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h49m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Chile;90;PVCIL;S_SEX;Boy;Girl;572,809762894702;7,55513876873874;580,164046806269;8,28758388324361;7,35428391156718;11,3956979813524;,645356161913162;TOTWGTS;JRR;HALF;N;26-FEB-26;10h49m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
